Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Repl.it,https://www.crunchbase.com/organization/replit,"Repl.it is a browser-based integrated development environment (IDE) built for cross-platform collaborative coding. With assist for more than 50 programming languages, it can be utilized to construct apps and websites via a browser on any working system or system (together with cell), with the added skill to share initiatives and create communal workspaces, and grant entry to containers for executing code. The company was founded in 2016 and is headquartered in San Francisco, California.","Cloud Computing, Developer Tools, Information Technology, Software",https://replit.com,"San Francisco, California, United States",Repl.it is a browser-based integrated development environment for cross-platform collaborative coding.,830,"10,673,300","13,177,466.33",-15.95%,0.1%,996,2.18,0.49%,57.17%,-0.57%,"15,950","3,703",30.24%,"San Francisco Bay Area, West Coast, Western US",Active,2016-01-01,year,3,11-50,"Amjad Masad, Faris Masad, Haya Odeh",,,,,
Parsec,https://www.crunchbase.com/organization/parsec-2,"Parsec empowers people to connect to their work, games, and friends from anywhere, on any device. Parsec for Teams lets artists, animators, developers, and designers across the creative industries use their powerful PCs and VMs from anywhere, across any device. Our silky smooth, 60FPS+, 4K interactive remote access tools are used by leaders in games, animation, film, broadcast, architecture, and more. Millions of people use Parsec to access their games on the go. Share a link and you’re playing with friends and family.","Cloud Computing, PC Games, Productivity Tools",https://parsec.app,"New York, New York, United States","Parsec helps people to connect to their work, games, and friends from anywhere, on any device.","61,444","3,255,561","3,107,513.33",2.5%,4.13%,403,2.27,2.6%,53.99%,-2.37%,"44,318",78,0.18%,"Greater New York Area, East Coast, Northeastern US",Active,2016-05-04,day,2,11-50,"Benjy Boxer, Christopher Dickson",,,,,
Pulumi,https://www.crunchbase.com/organization/pulumi-corporation,"Pulumi is a  Seattle-based cloud engineering company that offers a way to build, connect, and run modern cloud applications. Pulumi provides the cloud development model: helping Development and DevOps teams get their code to the cloud quickly and collaboratively. Pulumi provides frameworks and libraries to define, deploy, and manage cloud services -- from serverless to container to virtual machines -- using pure code, for any cloud, with clear collaboration for teams and enterprises delivering on the cloud, multi-cloud, and cloud-native application delivery strategies.","Cloud Computing, Computer, SaaS, Software",https://www.pulumi.com,"Seattle, Washington, United States","Pulumi is a  Seattle-based cloud engineering company that offers a way to build, connect, and run modern cloud applications.","3,843","443,488","465,497.17",135.96%,-23.07%,567,2.37,-15.28%,62.99%,12.34%,"197,812","-147,828",-42.77%,"Greater Seattle Area, West Coast, Western US",Active,2017-01-01,year,2,11-50,"Eric Rudder, Joe Duffy",,,147804,USD,147804
Brilliant Hire by SAP,https://www.crunchbase.com/organization/brillianthire-by-sap,"Brilliant Hire offers skills-based job applicant screening, providing faster and greater insights without bias. Additionally, it offers the BrilliantHire Experts Network. Brilliant Experts is a complimentary service to Brilliant Hire, providing experts who evaluate candidates at any skill level and any discipline which is reducing the effort for recruiters massively.","Cloud Computing, Enterprise Software, Human Resources, Recruiting",https://www.brillianthire.io/,"San Francisco, California, United States",Brilliant Hire is a recruiting solution for efficient and unbiased candidate screening.,"75,476","353,767","310,584.17",30.03%,-4.22%,318,1.91,-23.27%,53.92%,8.75%,"231,912","-36,377",-13.56%,"San Francisco Bay Area, West Coast, Western US",Active,2018-01-01,month,3,11-50,"Appaiah Ganapathy, Hermant Shetty, Shwetha PB",,,,,
RecVue,https://www.crunchbase.com/organization/recvue,"RecVue simplifies billing by leveraging the most robust and complete Order-to-Cash platform on the market. RecVue reduces the time to revenue, optimizes billing and revenue processes, and boosts customer satisfaction. Our customers have cut the bill-to-invoice cycle by up to 61% and streamlined Days Receivable Outstanding by up to 25%. The platform integrates with any front end ERP or back end CRM applications. It includes transaction mediation tuned to support high volumes of transactions, complete billing-to-invoice capabilities, advanced pricing support, partner management/revenue sharing, and robust analytics and reporting.  For more information, visit: https://www.recvue.com  For more information, visit http://www.recvue.com","Billing, Cloud Computing, Enterprise Software, SaaS",http://www.recvue.com,"Palo Alto, California, United States","RecVue's Order-to-Cash platform helps modern businesses automate complex billing models, enabling them to scale at speed.","26,232","312,440","431,413",65.71%,-5.54%,"1,535",3.15,-4.5%,53.66%,-7.05%,"252,796","-92,139",-26.71%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2016-01-01,day,1,101-250,Nishant Nair,,,,,
BookedBy,https://www.crunchbase.com/organization/bookedby,"BookedBy provides enterprise service market businesses with a complete POS, booking, and reservation experience integrated into one.","Cloud Computing, Enterprise Software, Software, Software Engineering",https://bookedby.com/,"Round Rock, Texas, United States",BookedBy is a cloud-based software development firm.,"343,240","296,296","332,527",-33.78%,46.99%,757,1.75,0.27%,71.09%,13.09%,"262,207","72,658",38.33%,Southern US,Active,2019-01-01,year,2,51-100,"IVAN M., Sean Maney",,,,,
Kong,https://www.crunchbase.com/organization/konghq,"Kong powers APIs and microservices with an open source API gateway and service connectivity platform. It is cloud, protocol, and language agnostic, their products work seamlessly with both emerging and legacy technologies.","Cloud Computing, Cloud Data Services, Developer APIs, Enterprise Software, Open Source, Software",https://konghq.com,"San Francisco, California, United States",Kong is the cloud connectivity company offering the service connectivity platform designed for modern architectures.,"11,750","289,146","281,785.5",17.38%,-0.78%,384,1.81,-5.9%,70.7%,4.87%,"266,738","-20,592",-7.17%,"San Francisco Bay Area, West Coast, Western US",Active,2017-01-01,year,3,251-500,"Augusto Marietti, Marco Palladino, Michele Zonca",,,,,
Ankr,https://www.crunchbase.com/organization/ankr,"Ankr is a Web3-native infrastructure platform that specializes in the fields of blockchain, development platform, and information technology. Ankr was founded in 2017 and headquartered in San Francisco, California.","Blockchain, Cloud Computing, Cloud Security, PaaS, Sharing Economy",https://ankr.com/,"San Francisco, California, United States",Ankr is a Web3-native infrastructure platform that specializes blockchain development and decentralization.,"29,541","253,798","267,842",25.12%,50.1%,761,1.36,-1.17%,78.92%,0.15%,"291,923","-36,061",-10.99%,"San Francisco Bay Area, West Coast, Western US",Active,2017-11-01,month,3,11-50,"Chandler Song, Ryan Fang, Stanley Wu",,,,,
Ampere Computing,https://www.crunchbase.com/organization/ampere-computing,Ampere Computing develops data center processors for cloud servers.,"Cloud Computing, Cloud Data Services, Hardware",http://amperecomputing.com/,"Santa Clara, California, United States",Ampere Computing develops data center processors for cloud servers.,"1,661","218,154","158,718.33",15.24%,-7.84%,"1,551",7.26,-19.88%,31.28%,-26.1%,"313,966","-10,926",-3.36%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2017-01-01,year,1,501-1000,Renee James,,,,,
Solo.io,https://www.crunchbase.com/organization/solo-io,"Solo.io develops tools to help the enterprise adapt and make the most of innovative cloud technologies. The company gives enterprises a clear pathway to the future by providing a suite of tools that allow enterprises to connect the old world of stable, well-tested applications that are hard to change with the newer, flexible world of microservices, serverless and service mesh. New features can be added to existing applications without having to rebuild entire legacy codebases, allowing enterprises to respond to business demands today without first completing painful multi-year transformation programs.  Solo.io is a Boston-based start-up, founded in 2017 by Idit Levine.","Apps, Cloud Computing, Developer APIs, Internet, Software",https://www.solo.io,"Cambridge, Massachusetts, United States",Solo.io develops tools to help the enterprise adapt and make the most of innovative cloud technologies.,"1,898","179,075","118,448.67",4.04%,46.36%,322,2.61,41.68%,67.12%,8.33%,"357,158","10,778",3.11%,"Greater Boston Area, East Coast, New England",Active,2017-09-01,month,1,101-250,Idit Levine,,,,,
