Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
TradingView,https://www.crunchbase.com/organization/tradingview,"TradingView is a network of traders and investors – powered by real-time data and market-leading analysis software. It’s a word-of-mouth success story: from TechStars in Chicago in 2013, to over 15 million monthly active site users and over 40,000 publishers, brokerages, and fintech utilizing its investing tools. TradingView is a global team of over 200+, founded by Stan Bokov, Denis Globa, and Constantin Ivanov. In 2018 TradingView completed a $37 million Series B round led by Insight Partners, and in 2019 they acquired TradeIT in order to accelerate the company’s existing vision.","Cloud Computing, Finance, FinTech, Stock Exchanges, Trading Platform",http://www.tradingview.com,"London, England, United Kingdom","TradingView provides traders and investors with charts, tools, and social networking.","16,179","545,893,705","402,260,875",45.16%,-21.3%,"3,022",4.3,-23.68%,49%,15.02%,125,-91,-42.13%,,Active,2011-09-01,day,3,251-500,"Constantine Ivanov, Denis Globa, Stan Bokov",1,,,,
Connex One,https://www.crunchbase.com/organization/connex-one,"Connex One is a cloud based, omni-channel engagement platform. Much more than just a predictive dialler, it has enhanced functionality and data analytics to give you a deeper understanding of your customers and the tools to connect with them for unparalleled results. One platform, every customer.","Cloud Computing, Information Services, Information Technology",https://www.connexone.co.uk/,"Manchester, Manchester, United Kingdom",Connex One is a cloud based omni-channel engagement platform.,"113,328","26,134,401","5,243,380","1,978.28%",141.32%,806,1.9,21.73%,49.33%,-24.14%,"6,436","-77,321",-92.32%,,Active,2013-01-01,year,1,51-100,Nicholas Mealey,,,,,
BUSYMOUSE,https://www.crunchbase.com/organization/busymouse,,"Cloud Computing, Cloud Data Services, Information Technology",https://busymouse.de,"Hanover, Niedersachsen, Germany",BUSYMOUSE offers cloud solutions for system houses and IT service providers.,"1,027,010","8,841,630","3,769,287",53.85%,-42.12%,632,2.4,4.27%,22.86%,-13.47%,"18,998","-8,450",-30.79%,European Union (EU),Active,2011-01-01,year,,11-50,,,,,,
PythonAnywhere,https://www.crunchbase.com/organization/pythonanywhere,"PythonAnywhere is a popular and growing platform-as-a-service that makes it easy for programmers to create, store and run their software in the cloud.  We have tens of thousands of Python programmers active on the site, and are hosting over 40,000 Python-backed websites, some of them with traffic up to 1.5 million hits/day. Short-term we aim to be the natural choice for new projects using the Python programming language. Later we'll include other languages, and scale alongside our customers, to compete with the likes of Heroku (acquired by Salesforce.com for $212MM). We can fundamentally change the way programmers work, as they move from the desktop to the cloud.","Cloud Computing, Developer Tools, Education, PaaS, Software, Web Hosting",http://www.pythonanywhere.com,"London, England, United Kingdom","PythonAnywhere is a popular and growing platform-as-a-service that makes it easy for programmers to create, store and run their software in","157,833","8,122,905","20,198,604.83",-5.78%,25.12%,782,4.37,40.09%,50.89%,-5.34%,"20,480","1,129",5.83%,,Active,2011-01-01,year,2,1-10,"Giles Thomas, Robert Smithson",14,"1,031",,,
Integromat,https://www.crunchbase.com/organization/integromat-2,"Integromat is an integration and automation service offering unique features. Here is a short overview: * Automations can be very complex. You can automate an unlimited number of consecutive actions, not just 1:1 (if this:then that). Each action has at its disposal data returned by previous actions. This allows you to automate your entire workflow, not just one part. * Integromat gives you the possibility to use built-in routers to duplicate any incoming data. Using routers, you can divide your scenario into multiple routes and process data separately in each route. More information can be found here: http://intm.at/b/4  * Integromat supports dynamically created inputs and outputs. Thanks to this feature you can, for example, call remote database procedures and map their input and output variables. It’s a function that you won't find anywhere else. * Built-in feeders are special modules that can split incoming data into multiple parts and then process each part separately. For example, if you receive an email with multiple attachments, you can handle each attachment separately. * Aggregators, on the other hand, allow to merge individual data into a single bundle. We can, for example, create a ZIP archive of files contained in a specific folder and then save it or send it anywhere. More information on feeders and aggregators can be found here: http://intm.at/b/3  * We can work with files as if they were binary data. Therefore we do not need to know the path to a folder. This lets you, for example, transform images or work with file content as with a text. * Another unique feature is the possibility to schedule webhooks. With Integromat you can, for example, make an automation that will gather text messages received on your mobile phone during a day and then at midnight select a winner. Standard webhooks are of course also supported. * We support serialization and deserialization of JSON documents and give you the possibility to work with your data in any way. Nested objects or fields are no problem for us. * Thanks to the transaction processing of data, Integromat is able to complete an entire automation as scheduled. In case of error, Integromat reverts all changes and restores the initial state. In short, it will either perform all actions as scheduled or nothing. * Integromat stores incomplete runs (DLQ). If an automation encounters an error, we will save its state. This ensures that no data are lost. You can then fix the issue and continue executing from where it was stopped. * Perfect visualization of everything you do. From possibility to watch how your automation is being executed to visualization of data flow in the Execution history. Currently, we support 110 services (https://www.integromat.com/en/integrations) and thanks to the integrated support for the most widely used databases (MySQL, MS SQL, PostgreSQL) Integromat offers almost unlimited possibilities for automation. We continuously expand our list of supported services.","Cloud Computing, Cloud Data Services, Data Integration, SaaS, Software",https://www.integromat.com,"Prague, Hlavni mesto Praha, Czech Republic",Integromat is a software developer of workflow automation applications.,"95,015","6,064,770","2,367,551.5",547.85%,-48.03%,461,6.82,29.36%,29.13%,-24.47%,"26,580","-84,821",-76.14%,European Union (EU),Active,2012-01-01,year,6,11-50,"Michal Toman, Ondřej Gazda, Patrik Šimek, Pavel Duras, Roman Bršlica, Tomáš Schel",2,36,,,
Business Cloud,https://www.crunchbase.com/organization/business-cloud-2,"Business Cloud is a complete platform for businesses management using cloud computing.  Founded in 2012 by new ambitious developers, it become the most complete suite of applications for every business. The Business Cloud platform incorporates unique innovative features that make it superior to any other similar product on the market. It provides the only 100% cloud applications for professionals in Greece.","Business Development, Cloud Computing, Management Information Systems, Software",https://solutiondots.com/business-cloud/,"Athens, Attiki, Greece",Business Cloud is a complete platform for businesses management using cloud computing.,"385,313","4,463,352","4,142,460.33",-12.58%,42.36%,494,2.09,5.04%,36.19%,10.4%,"33,724","6,326",23.09%,European Union (EU),Active,2012-03-01,month,,1-10,,,,,,
pCloud,https://www.crunchbase.com/organization/pcloud,"Based in Switzerland, they are a young forward-thinking team doing their  best to make a significant impact on the rapidly growing IT market. At pCloud, they're providing the world with a comprehensive easy-to-use cloud storage solution for individuals and businesses alike. Their approach incorporates the technical point-of-view with the end user in mind. Other cloud services are either too technical and are not user-friendly, or they are not comprehensive enough for users to get everything they want out of cloud storage. This is why they founded pCloud in 2013 to combine thjeir strong IT skills with the vibrant creativity of their growing team to create a cloud storage solution that works seamlessly for both individuals and businesses. ","Cloud Computing, Cloud Data Services, Cloud Storage, Cyber Security, Software",https://www.pcloud.com,"Baar, Zug, Switzerland",pCloud is a provides cloud storage solutions for personal and business consumers.,"22,989","4,284,416","3,507,671.33",2.39%,-6.94%,603,2.26,-0.3%,52.75%,2.51%,"35,628",31,0.09%,,Active,2013-09-13,day,1,11-50,Tunio Zafer,4,"66,968",,,
NuvoLink,https://www.crunchbase.com/organization/nuvolink,,"Cloud Computing, Information Technology, Security",http://www.nuvolink.es/,"La Llagosta, Catalonia, Spain","NuvoLink provides cloud computing, home automation, security, IT and networking services.","1,319,385","2,956,144","2,906,348.5",-37.14%,44.09%,"3,366",13.47,100.95%,17.99%,-54.92%,"46,733","17,423",59.44%,European Union (EU),Active,2012-07-11,day,,1-10,,,,,,
GetApp,https://www.crunchbase.com/organization/getapp,"GetApp is the recommendation engine small businesses need to make the right software choice. GetApp enables SMBs to achieve their mission by delivering the tailored, data-driven recommendations and insights needed to make informed software purchasing decisions. For more information, visit www.getapp.com.","App Marketing, Apps, Cloud Computing, Enterprise Software, SaaS, Software",https://www.getapp.com,"Barcelona, Catalonia, Spain",GetApp is the recommendation engine small businesses need to make the right software choice. GetApp is a Gartner company.,"121,996","2,476,276","2,226,265.33",22.61%,56.11%,473,1.71,9.48%,71.65%,-2%,"53,627","-4,414",-7.6%,European Union (EU),Active,2010-01-15,day,2,51-100,"Christophe Primault, Manuel Jaffrin",3,0,,,
Contentful,https://www.crunchbase.com/organization/contentful,"Contentful, the content platform for digital-first business, helps 30% of the Fortune 500 and thousands of brands around the world create and manage digital experiences for their customers across any channel. It enables greater speed and scale than traditional CMS solutions. Contentful unifies content in a single hub, structures it for use in any digital channel, and integrates seamlessly with hundreds of other tools through open APIs. Companies such as Chanel, Bang & Olufsen, Shiseido, Shopify, BP, and many others rely on Contentful’s platform.","Cloud Computing, Content, Developer Tools, SaaS, Software",https://www.contentful.com,"Berlin, Berlin, Germany",Contentful offers a headless content management system that helps organizations deliver content across channels.,"23,268","1,948,741","2,510,446",23.79%,280.59%,"3,079",12.08,295.44%,23.14%,-45.42%,"64,457","-5,910",-8.4%,European Union (EU),Active,2013-01-01,year,2,501-1000,"Paolo Negri, Sascha Konietzke",16,,,,
